animal,pronoun,response,age,gender
rabbit,he,"stepped onto the bridge, took out his fishing pole, and threw his line in the water. It was a perfect day for quietly fishing. He didn't care if he caught anything.",30s,male
rabbit,she,she washed her paws in the bubbling water. She then washed her whiskers and behind her ears. She was ready for her snack.,30s,female
rabbit,he,ate a picnic basket of carrots with his friends. Later they all danced in a circle and sang songs about how terrible humans are.,40s,male
rabbit,,the rabbit took a long walk off of a short pier.,,
bird,,The bird drank deeply of the refreshing cool waters and sang a silly song.,30s,male
bird,he,the bird laid out his pic-nic blanket and served fresh sushi to his imaginary friends whose company he preferred.,30s,female
bear,he,"He noticed the bugs dancing on the water, and a rainbow in the distance. He approached the water and took a deep sniff.",30s,non-binary
mouse,he,he swam away.,,
dog,,"the dog went ""schlop schlop schlop schlop schlop schlop schlop""",20s,
rabbit,he,he looked across at the currents and wolves on the other side.,20s,male
cat,it,"The cat laid down by the water and began to drink from the river, lapping up the water with its tongue.",20s,female
bird,she,"the river seemed so close at hand while the bird seem to enter an endless cycle in which she couldn't dip her beak into the water and see her reflection, as if there was a borderless look-through mirror separating the thirsty creature and water. ",30s,female
dog,,Dog named kitty finds out that a dog cannot swimming is not a qualified fish.,20s,na
cat,he,the cat tied a rock to his paw and jumped in.,,
bear,he,The bear said that he must go to the river,60+,self
bear,he,He jumped into the river in search of fish.,,
cat,he,he jumped into the river.,u20,female
bear,he,He looked at the beavers work and said “Dam.”,40s,na
rabbit,she,"She drank some water because she was parched. She looked at her own reflection in the water. She got spooked, and ran back into the bush.",40s,male
cat,she,"the cat lapped up the water with its tongue. Then, then cat sat down and gave herself a bath.",20s,female
cat,he,"upon arriving the cat said ""I must go to the river"" my owner has no food, so I'm going to catch some fish. I don't have a fishing pole though, so I am going to use you instead the cat said while dunking me in the river. Except he never brought me up for air.......",u20,female
bear,he,The bear looked around to see if he was alone. When he was sure he sat down by the water and grunted so his friend the swan would know the coast is clear,30s,male
bear,he,he realized he forgot his favorite hat and decided to double back.,20s,female
bird,it,the bird flew and dipped its beak in the river.,,
rabbit,he,"the rabbit hopped onto the back of the snake, who slithered him through the river.",u20,non-binary
bear,he,he drank the water,30s,female
bird,she,"she located the shiny stone that she dropped the day prior. She reached in with her beak to retrieve her shiny morsel, when she caught movement from her left periphery. With a burst she took to the sky narrowly avoiding a slithery predator that was looking for some morning brunch.  ",30s,male
pig,,"go to the river, or just stay in the same place while thinking ""i need to go to the river.""
",na,female
cat,it,it took a piss in the river,na,male
bear,he,"He tried to catch a fish for lunch, splishing and splashing. After an hour, the bear moaned and grew tired. He lay down on the riverside bank and dreamt of rainbow trout, glittering in the sun.",,
dog,,the dog jumped in,20s,female
pig,,the bird took a nice swimming break.,20s,non-binary
mouse,he,he remembered that he couldn't swim.,20s,male
rabbit,he,"He stared into the distance for a while, listening to the babbling stream indicating the passage of time. His mind calmed, he knew what to do next.",30s,male
pig,he,"The pig sat in the river and wallowed. It was a cold day, so the pig began to shiver. Feeling lost, the pig dunked his face into the water. ",30s,male
