goodreads_link,animal,animal_group,pronoun,animal_book_rank,title,author,pub_year,description,book_cover_image
https://www.goodreads.com/book/show/99107.Winnie_the_Pooh,bear,bear,he/him,3,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,1926.0,"The adventures of Christopher Robin and his friends in which Pooh Bear uses a balloon to get honey, Piglet meets a Heffalump, and Eeyore has a birthday.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298440130i/99107._SY75_.jpg
https://www.goodreads.com/book/show/231850.Corduroy,bear,bear,he/him,4,Corduroy,Don Freeman,1968.0,"Corduroy has been on the department store shelf for a long time...Yet as soon as Lisa sees him, she knows that he's the bear she's always wanted. Her mother, though, thinks he's a little shopworn—he's even missing a button! Still, Corduroy knows that with a bit of work he can tidy himself up and be just the bear for Lisa. And where better to start than with a quick search through the department store for a new button!Corduroy, with his unaffected simplicity and childlike emotion, is one of the best-loved bears in children's books. His story has become an irresistible childhood classic, as basic and appealing as a small bear's desire for a home and a friend and the perfect fulfillment found in the devotion of a young girl.Don Freemanwas born in San Diego, California, and moved to New York City to study art, making his living as a jazz trumpeter. With this loss of his trumpet on a subway train, Mr. Freeman turned his talents to art full-time. In the 1940s he began writing and illustrating children's books; his many popular titles includeBeady Bear,Dandelion,Mop Top,Norman the Doorman,and his follow-up toCorduroy,A Pocket For Corduroy.At the time of his death in 1978, theLos Angeles Timeswrote:""Ingeniousness and humor, theatricality and commonality, humanity and beauty: these elements survive in his picture books.""Edition MSRP: U.S. $16⁹⁹ / CAN. $21⁰⁰(ISBN 978-0-670-24133-0)Reinforced Binding. Age Group: 3-8.Show more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347517273i/231850jpg
https://www.goodreads.com/book/show/967494.The_Mitten,bear,bear,he/him,6,The Mitten,Jan Brett,1989.0,"When Nicki drops his white mitten in the snow, he goes on without realizing that it is missing.One by one, woodland animals find it and crawl in; first, a curious mole, then a rabbit, a badger and others, each one larger than the last. Finally, a big brown bear is followed in by a tiny brown mouse and what happens next makes for a wonderfully funny climax.As the story of the animals in the mitten unfolds, the reader can see Nicki in the boarders of each page, walking through the woods unaware of what is going on.Once again Jan Brett has created a dramatic and beautiful picture book in her distinctive style. She brings the animals to life with warmth and humor, and her illustrations are full of visual delights and details faithful to the Ukrainian tradition from which the story comes.Show more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348985792i/967494jpg
https://www.goodreads.com/book/show/201146.Little_Bear,bear,bear,she/her,6,"Little Bear (Little Bear, #1)",Else Holmelund Minarik,1957.0,Book by Else Holmelund Minarik,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1318518124i/201146._SY75_.jpg
https://www.goodreads.com/book/show/201146.Little_Bear,bear,bear,he/him,6,"Little Bear (Little Bear, #1)",Else Holmelund Minarik,1957.0,Book by Else Holmelund Minarik,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1318518124i/201146._SY75_.jpg
https://www.goodreads.com/book/show/420404.Yertle_the_Turtle_and_Other_Stories,bear,bear,he/him,8,Yertle the Turtle and Other Stories,Dr. Seuss,1958.0,"""I'm Yertle the Turtle! Oh, marvelous me!For I am the ruler of all that I see!""In this hilarious book - featuring three timeless fables - Dr. Seuss explores the pitfalls of growing too big for your boots!By combining the funniest stories, craziest creatures and zaniest pictures with his unique blend of rhyme, rhythm and repetition, Dr. Seuss helps children of all ages and abilities to read.Dr. Seuss makes reading FUN!Story List:- Yertle the Turtle- Gertrude McFuzz- The Big BragWith his unique combination of hilarious stories, zany pictures and riotous rhymes,Dr. Seusshas been delighting young children as well as helping them learn to read for over fifty years. Creator of the wonderfully anarchic'Cat in the Hat',and ranked among the world's top children's authors, Dr. Seuss is a global best-seller, with nearly half a billion books sold worldwide.Show more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347434226i/420404jpg
https://www.goodreads.com/book/show/270067.A_Pocket_for_Corduroy,bear,bear,he/him,8,A Pocket for Corduroy,Don Freeman,1978.0,"Come along with Corduroy as he goes on an all-new adventure.Corduroy, with his unaffected simplicity and childlike emotion, is one of the best-loved bears in children's books. His story has become an irresistible childhood classic, beloved by generations of readers of all ages.Don Freemanwas born in San Diego, California, and moved to New York City to study art, making his living as a jazz trumpeter. With this loss of his trumpet on a subway train, Mr. Freeman turned his talents to art full-time. In the 1940s he began writing and illustrating children's books; his many popular titles includeBeady Bear,Dandelion,Mop TopandNorman the Doorman.At the time of his death in 1978, theLos Angeles Timeswrote:""Ingeniousness and humor, theatricality and commonality, humanity and beauty: these elements survive in his picture books.""Show more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386921247i/270067jpg
https://www.goodreads.com/book/show/867248.Bear_Snores_On,bear,bear,he/him,10,Bear Snores On,Karma Wilson,2002.0,"One by one, a whole host of different animals and birds find their way out of the cold and into Bear's cave to warm up. But even after the tea has been brewed and the corn has been popped, Bear just snores on!See what happens when he finally wakes up and finds his cave full of uninvited guests -- all of them having a party without him!",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344390790i/867248jpg
https://www.goodreads.com/book/show/900065.The_Berenstain_Bears_and_the_Messy_Room,bear,bear,he/him,15,The Berenstain Bears and the Messy Room,Stan Berenstain,1983.0,"""The room shared by Brother and Sister is a mess because the cubs argue over who should neaten up instead of working together. Sure to make toddlers smile while they absorb an implied lesson.""--Publishers Weekly.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344371748i/900065jpg
https://www.goodreads.com/book/show/900065.The_Berenstain_Bears_and_the_Messy_Room,bear,bear,he/him,15,The Berenstain Bears and the Messy Room,Stan Berenstain,1983.0,"""The room shared by Brother and Sister is a mess because the cubs argue over who should neaten up instead of working together. Sure to make toddlers smile while they absorb an implied lesson.""--Publishers Weekly.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344371748i/900065jpg
https://www.goodreads.com/book/show/197084.Are_You_My_Mother_,bird,bird,he/him,3,Are You My Mother?,P.D. Eastman,1960.0,"ARE YOU MY MOTHER? tells a very simple story for children who have just started to read. their younger brothers or sisters will also want to follow the baby bird's quest as he asks everyone and everything he meets, ""Are You My Mother?"".Back in 1957, Theodor Geisel responded to an article in Life magazine that lamented the use of boring reading primers in schools. Using the pseudonym of ""Dr. Seuss"" (Seuss was Geisel's middle name) and only two hundred twenty-three words, Geisel created a replacement for those dull primers: ""The Cat in the Hat."" The instant success of the book prompted Geisel and his wife to found Beginner Books, and Geisel wrote many popular books in this series, including ""Hop on Pop,"" ""Fox in Socks,"" and ""Green Eggs and Ham.""Other favorite titles in this series are ""Go, Dog, Go!"" and ""Are You My Mother?"" by P. D. Eastman, ""A Fly Went By,"" by Mike McClintock, and ""Put Me in the Zoo,"" by Robert Lopshire. These affordable hardcover books combine large print, easy vocabulary, and large, bright illustrations in stories kids will want to read again and again. Grades 1 - Grades 2.Show more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389098758i/197084jpg
https://www.goodreads.com/book/show/197084.Are_You_My_Mother_,bird,bird,she/her,3,Are You My Mother?,P.D. Eastman,1960.0,"ARE YOU MY MOTHER? tells a very simple story for children who have just started to read. their younger brothers or sisters will also want to follow the baby bird's quest as he asks everyone and everything he meets, ""Are You My Mother?"".Back in 1957, Theodor Geisel responded to an article in Life magazine that lamented the use of boring reading primers in schools. Using the pseudonym of ""Dr. Seuss"" (Seuss was Geisel's middle name) and only two hundred twenty-three words, Geisel created a replacement for those dull primers: ""The Cat in the Hat."" The instant success of the book prompted Geisel and his wife to found Beginner Books, and Geisel wrote many popular books in this series, including ""Hop on Pop,"" ""Fox in Socks,"" and ""Green Eggs and Ham.""Other favorite titles in this series are ""Go, Dog, Go!"" and ""Are You My Mother?"" by P. D. Eastman, ""A Fly Went By,"" by Mike McClintock, and ""Put Me in the Zoo,"" by Robert Lopshire. These affordable hardcover books combine large print, easy vocabulary, and large, bright illustrations in stories kids will want to read again and again. Grades 1 - Grades 2.Show more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389098758i/197084jpg
https://www.goodreads.com/book/show/786256.Stellaluna,bird,bird,she/her,4,Stellaluna,Janell Cannon,1993.0,"Stellalunais the tender story of a lost young bat who finally finds her way safely home to her mother and friends. This award-winning book by Janell Cannon has sold over 500,000 copies and was on the bestseller list for more than two years.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1275583521i/786256jpg
https://www.goodreads.com/book/show/7770.One_Fish_Two_Fish_Red_Fish_Blue_Fish,bird,bird,he/him,5,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,1960.0,"From there to here, from here to there, funny things are everywhere. In this exploration of simple concepts such as colour, numbers and opposites, Dr Seuss presents a crazy world of boxing Goxes, singing Yinks and hump Wumps.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1165640023i/7770jpg
https://www.goodreads.com/book/show/53327848-mel-fell,bird,bird,she/her,7,Mel Fell,Corey R. Tabor,2021.0,"A tale about self-confidence and taking a leap of faith, starring a kingfisher.Sometimes, you might falldown,down,down,before you learn to flyup,up,up…Show more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1649097735l/53327848jpg
https://www.goodreads.com/book/show/53327848-mel-fell,bird,bird,she/her,7,Mel Fell,Corey R. Tabor,2021.0,"A tale about self-confidence and taking a leap of faith, starring a kingfisher.Sometimes, you might falldown,down,down,before you learn to flyup,up,up…Show more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1649097735l/53327848jpg
https://www.goodreads.com/book/show/53327848-mel-fell,bird,bird,she/her,7,Mel Fell,Corey R. Tabor,2021.0,"A tale about self-confidence and taking a leap of faith, starring a kingfisher.Sometimes, you might falldown,down,down,before you learn to flyup,up,up…Show more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1649097735l/53327848jpg
https://www.goodreads.com/book/show/53327848-mel-fell,bird,bird,he/him,7,Mel Fell,Corey R. Tabor,2021.0,"A tale about self-confidence and taking a leap of faith, starring a kingfisher.Sometimes, you might falldown,down,down,before you learn to flyup,up,up…Show more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1649097735l/53327848jpg
https://www.goodreads.com/book/show/420404.Yertle_the_Turtle_and_Other_Stories,bird,bird,she/her,8,Yertle the Turtle and Other Stories,Dr. Seuss,1958.0,"""I'm Yertle the Turtle! Oh, marvelous me!For I am the ruler of all that I see!""In this hilarious book - featuring three timeless fables - Dr. Seuss explores the pitfalls of growing too big for your boots!By combining the funniest stories, craziest creatures and zaniest pictures with his unique blend of rhyme, rhythm and repetition, Dr. Seuss helps children of all ages and abilities to read.Dr. Seuss makes reading FUN!Story List:- Yertle the Turtle- Gertrude McFuzz- The Big BragWith his unique combination of hilarious stories, zany pictures and riotous rhymes,Dr. Seusshas been delighting young children as well as helping them learn to read for over fifty years. Creator of the wonderfully anarchic'Cat in the Hat',and ranked among the world's top children's authors, Dr. Seuss is a global best-seller, with nearly half a billion books sold worldwide.Show more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347434226i/420404jpg
https://www.goodreads.com/book/show/420404.Yertle_the_Turtle_and_Other_Stories,bird,bird,he/him,8,Yertle the Turtle and Other Stories,Dr. Seuss,1958.0,"""I'm Yertle the Turtle! Oh, marvelous me!For I am the ruler of all that I see!""In this hilarious book - featuring three timeless fables - Dr. Seuss explores the pitfalls of growing too big for your boots!By combining the funniest stories, craziest creatures and zaniest pictures with his unique blend of rhyme, rhythm and repetition, Dr. Seuss helps children of all ages and abilities to read.Dr. Seuss makes reading FUN!Story List:- Yertle the Turtle- Gertrude McFuzz- The Big BragWith his unique combination of hilarious stories, zany pictures and riotous rhymes,Dr. Seusshas been delighting young children as well as helping them learn to read for over fifty years. Creator of the wonderfully anarchic'Cat in the Hat',and ranked among the world's top children's authors, Dr. Seuss is a global best-seller, with nearly half a billion books sold worldwide.Show more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347434226i/420404jpg
https://www.goodreads.com/book/show/233093.The_Cat_in_the_Hat,cat,cat,he/him,1,"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,1957.0,"Have a ball with Dr. Seuss and the Cat in the Hat in this classic picture book...but don't forget to clean up your mess!Then he said That is that.And then he was goneWith a tip of his hat.A dreary day turns into a wild romp when this beloved story introduces readers to theCat in the Hatand his troublemaking friends,Thing 1andThing 2– And don't forgetFish! A favorite among kids, parents and teachers, this story uses simple words and basic rhyme to encourage and delight beginning readers.Originally created byDr. Seusshimself,Beginner Booksare fun, funny, and easy to read. These unjacketed hardcover early readers encourage children to read all on their own, using simple words and illustrations. Smaller than the classic large format Seuss picture books likeThe LoraxandOh, The Places You'll Go!,these portable packages are perfect for practicing readers ages 3-7, and lucky parents too!Show more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468890477i/233093jpg
https://www.goodreads.com/book/show/3257136-dewey,cat,cat,he/him,3,Dewey: The Small-Town Library Cat Who Touched the World,"Vicki Myron, Bret Witter",2008.0,"How much of an impact can an animal have? How many lives can one cat touch? How is it possible for an abandoned kitten to transform a small library, save a classic American town, and eventually become famous around the world? You can't even begin to answer those questions until you hear the charming story of Dewey Readmore Books, the beloved library cat of Spencer, Iowa.Dewey's story starts in the worst possible way. Only a few weeks old, on the coldest night of the year, he was stuffed into the returned book slot at the Spencer Public Library. He was found the next working by library director Vicki Myron, a single mother who had survived the loss of her family farm, a breast cancer scare, and an alcoholic husband. Dewey won her heart, and the hearts of the staff, by pulling himself up and hobbling on frostbitten feet to nudge each of hem in a gesture of thanks and love. For the next nineteen years, he never stopped charming the people of Spencer with this enthusiasm, warmth, humility (for a cat), and, above all, his sixth sense about who needed him most.As his fame grew from town to town, then state to state, and finally, amazingly, worldwide, Dewey became more than just a friend; he became a source of pride for an extraordinary Heartland farming town pulling its way slowly back from the greatest crisis in its long history.Show more",
https://www.goodreads.com/book/show/19321.The_Tale_of_Peter_Rabbit,cat,cat,she/her,5,"The Tale of Peter Rabbit (World of Beatrix Potter, #1)",Beatrix Potter,1902.0,"""Now, my dears,""said old Mrs Rabbit one morning, ""you may go into the fields or down the lane, but don't go into Mr. McGregor's garden.""Follow the story of naughty Peter Rabbit as he squeezes—predictably—under the gate into Mr. McGregor's garden and finds himself in all kinds of trouble! But how does Peter Rabbit get himself out of this tricky situation? Beatrix Potter's story about one mischievous but ultimately endearing little creature will tell us, accompanied by beautiful illustrations and timeless verses which have transcended generations.'The Tale of Peter Rabbit',first published in 1902, is still today one ofBeatrix Potter'smost popular and well-loved tales. It is the first of the illustrious series that isThe World of Beatrix Potter',and a story which has endured retelling after retelling at bedtimes all over the world.Beatrix Potter(1866–1943) loved the countryside and spent much of her childhood drawing and studying animals.'The Tale of Peter Rabbit',first published in 1902, was her first book. She later went on to publish more than twenty tales and collections of rhymes.Age Rating: 3–12+ / Preschool - 2+ / Lexile Measure AD660LShow more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1485118382i/19321jpg
