year,name,sex,n
1880,Aaron,M,102
1880,Abbie,F,71
1880,Abbott,M,5
1880,Abby,F,6
1880,Abe,M,50
1880,Abel,M,9
1880,Abigail,F,12
1880,Abner,M,27
1880,Abraham,M,81
1880,Abram,M,21
1880,Ada,F,652
1880,Adah,F,24
1880,Adaline,F,23
1880,Adam,M,104
1880,Addie,F,274
1880,Addie,M,8
1880,Addison,M,19
1880,Adela,F,9
1880,Adelaide,F,65
1880,Adelbert,M,28
1880,Adele,F,41
1880,Adelia,F,18
1880,Adeline,F,54
1880,Adella,F,26
1880,Adelle,F,5
1880,Aden,M,7
1880,Adina,F,5
1880,Adline,F,8
1880,Adolf,M,6
1880,Adolph,M,93
1880,Adolphus,M,17
1880,Adrian,M,18
1880,Adrienne,F,5
1880,Agatha,F,16
1880,Agnes,F,473
1880,Aileen,F,6
1880,Aimee,F,13
1880,Al,M,12
1880,Alba,F,6
1880,Albert,M,1493
1880,Alberta,F,76
1880,Albertina,F,7
1880,Albertine,F,5
1880,Albin,M,6
1880,Albina,F,7
1880,Alcide,M,7
1880,Alda,F,6
1880,Alden,M,9
1880,Alec,M,11
1880,Alex,M,147
1880,Alexander,M,211
1880,Alf,M,7
1880,Alford,M,14
1880,Alfred,M,469
1880,Algie,M,7
1880,Alice,F,1414
1880,Alida,F,17
1880,Aline,F,11
1880,Alla,F,6
1880,Allan,M,20
1880,Allen,M,184
1880,Allie,F,105
1880,Allie,M,31
1880,Allison,M,6
1880,Alma,F,277
1880,Alma,M,14
1880,Almeda,F,21
1880,Almira,F,8
1880,Almon,M,10
1880,Alois,M,10
1880,Alonza,M,10
1880,Alonzo,M,122
1880,Aloysius,M,12
1880,Alpha,F,26
1880,Alpha,M,6
1880,Alphonse,M,20
1880,Alphonso,M,5
1880,Alta,F,91
1880,Altha,F,10
1880,Althea,F,9
1880,Alton,M,14
1880,Alva,F,17
1880,Alva,M,70
1880,Alvah,M,18
1880,Alvena,F,8
1880,Alverta,F,6
1880,Alvie,M,12
1880,Alvin,M,102
1880,Alvina,F,28
1880,Alyce,F,7
1880,Alys,F,5
1880,Amalia,F,9
1880,Amanda,F,241
1880,Amber,F,9
1880,Ambrose,M,32
1880,Amelia,F,221
1880,America,F,16
1880,Amie,F,7
1880,Amos,M,128
1880,Amy,F,167
1880,Ana,F,5
1880,Anastacio,M,6
1880,Anastasia,F,10
1880,Anderson,M,43
1880,Andre,M,6
1880,Andres,M,14
1880,Andrew,M,644
1880,Andy,M,58
1880,Angela,F,7
1880,Angelina,F,9
1880,Angeline,F,25
1880,Angie,F,36
1880,Angus,M,17
1880,Anita,F,16
1880,Ann,F,131
1880,Anna,F,2604
1880,Anna,M,12
1880,Annabel,F,13
1880,Annabelle,F,9
1880,Anne,F,136
1880,Anner,F,9
1880,Annetta,F,18
1880,Annette,F,28
1880,Annie,F,1258
1880,Annie,M,6
1880,Annis,F,7
1880,Anson,M,10
1880,Anthony,M,130
1880,Antoinette,F,19
1880,Anton,M,77
1880,Antonia,F,18
1880,Antonio,M,26
1880,Ara,F,6
1880,Arch,M,61
1880,Archer,M,9
1880,Archibald,M,27
1880,Archie,M,183
1880,Ardelia,F,6
1880,Ardella,F,6
1880,Arie,F,9
1880,Arizona,F,8
1880,Arlie,M,7
1880,Arlington,M,6
1880,Armand,M,6
1880,Arnold,M,37
1880,Aron,M,8
1880,Arrie,F,6
1880,Art,M,12
1880,Arther,M,17
1880,Arthur,F,5
1880,Arthur,M,1599
